frame_no,frame_type,temporal,layer,qid,qp,y_psnr,u_psnr,v_psnr,bits
129,P,2,0,0,34,36.0442,35.9045,33.9807,9432
129,P,2,1,0,33,35.9654,37.04,35.208,14464
129,P,2,2,0,30,38.0589,38.9641,37.4612,31408
131,P,2,0,0,34,36.054,36.3052,34.1951,8840
131,P,2,1,0,33,36.1305,37.0508,35.0507,12216
131,P,2,2,0,30,37.8233,38.8157,37.5427,35504
136,P,0,0,0,30,36.4905,38.8306,37.1525,57064
136,P,0,1,0,29,37.5216,39.602,38.0722,58328
136,P,0,2,0,26,40.4001,42.2601,42.0794,143304
134,P,1,0,0,33,36.1477,36.81,35.1908,17768
134,P,1,1,0,32,36.5644,37.8479,36.0304,22592
134,P,1,2,0,29,38.5796,40.173,39.1129,61720
133,P,2,0,0,34,35.8933,35.8713,33.9972,10264
133,P,2,1,0,33,36.0379,36.953,34.8678,12632
133,P,2,2,0,30,37.7623,38.8641,37.4559,36560
135,P,2,0,0,34,35.8914,35.8323,33.8652,9200
135,P,2,1,0,33,35.9358,36.8848,34.8605,12912
135,P,2,2,0,30,37.8756,38.5532,36.9945,34112
140,P,0,0,0,30,36.4853,38.7028,37.0894,61408
140,P,0,1,0,29,37.4482,39.6262,38.0078,62760
140,P,0,2,0,26,40.2666,42.2294,41.93,147016
138,P,1,0,0,33,36.0224,36.6316,35.1783,16496
138,P,1,1,0,32,36.365,37.6152,35.9209,23016
138,P,1,2,0,29,38.5025,39.8856,38.693,64872
137,P,2,0,0,34,35.8117,35.9531,33.9773,10056
137,P,2,1,0,33,35.7281,36.7605,34.87,13504
137,P,2,2,0,30,37.7001,38.5025,37.2292,35616
139,P,2,0,0,34,35.7982,35.8696,33.678,9296
139,P,2,1,0,33,35.7187,36.8237,34.9461,14360
139,P,2,2,0,30,37.7327,38.461,36.7553,35800
144,I,0,0,0,30,36.6753,39.6487,38.3761,96096
144,I,0,1,0,29,37.4317,39.6828,38.4106,57696
144,I,0,2,0,26,40.1176,42.0598,41.9226,150216
142,P,1,0,0,33,35.9698,36.8455,35.2755,19288
142,P,1,1,0,32,36.1309,37.8458,36.1755,26504
142,P,1,2,0,29,38.1834,39.8224,38.8302,72352
141,P,2,0,0,34,35.7826,35.9139,33.7933,9848
141,P,2,1,0,33,35.6948,36.8855,34.5812,13240
141,P,2,2,0,30,37.743,38.2312,36.5167,34184
143,P,2,0,0,34,35.7351,36.2245,33.9891,8952
143,P,2,1,0,33,35.5713,36.8335,34.8915,14280
143,P,2,2,0,30,37.3312,38.1383,36.4094,36744
148,P,0,0,0,30,36.1314,38.1873,36.4562,40416
148,P,0,1,0,29,37.1057,39.0494,37.4725,55752
148,P,0,2,0,26,40.0198,41.8254,41.791,151736
146,P,1,0,0,33,35.821,36.2823,34.1282,12560
146,P,1,1,0,32,36.0827,37.3716,35.6206,23192
146,P,1,2,0,29,38.1149,39.3502,38.0403,67176
145,P,2,0,0,34,35.8375,36.1577,33.7868,7320
145,P,2,1,0,33,35.6278,37.0074,34.6372,14616
145,P,2,2,0,30,37.3013,38.2383,36.4581,38680
147,P,2,0,0,34,35.448,35.9194,33.905,9112
147,P,2,1,0,33,35.3437,36.7785,34.71,14992
147,P,2,2,0,30,36.991,38.2901,36.5866,40032
152,P,0,0,0,30,36.1942,38.1842,36.6465,56688
152,P,0,1,0,29,37.2483,39.3455,38.1681,71168
152,P,0,2,0,26,39.8944,41.8537,41.701,150760
150,P,1,0,0,33,35.5807,36.3213,34.7156,17680
150,P,1,1,0,32,35.7916,37.3443,35.6685,25856
150,P,1,2,0,29,37.9468,39.4533,38.0916,71640
149,P,2,0,0,34,35.326,35.3248,33.292,8568
149,P,2,1,0,33,35.4417,36.5918,34.3765,12768
149,P,2,2,0,30,37.0489,38.2845,36.2621,38368
151,P,2,0,0,34,35.4061,35.5379,33.3868,8008
151,P,2,1,0,33,35.4681,36.5217,34.4153,13832
151,P,2,2,0,30,36.9451,38.1302,36.3538,37480
156,P,0,0,0,30,36.1986,38.2223,36.4178,61864
156,P,0,1,0,29,37.0668,39.0224,37.5172,57752
156,P,0,2,0,26,39.8659,41.878,41.7575,153600
154,P,1,0,0,33,35.6464,35.9682,34.1538,15208
154,P,1,1,0,32,36.0338,37.0784,35.286,23904
